Brand,Title,Vendor,Handle,Product URL,Price,Available,Image URL (Lookskart CDN),Local Image Path,Product ID
Kerastase,Kerastase Gloss Absolu Glaze Drops Oil-In-Serum 45ml,kerastase,kerastase-gloss-absolu-glaze-drops-oil-in-serum-45ml,https://lookskart.com/products/kerastase-gloss-absolu-glaze-drops-oil-in-serum-45ml,3800.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_00331_oil_packshot_image_45ml_1.webp?v=1752048127,/images/products/lookskart/all/kerastase/kerastase-gloss-absolu-glaze-drops-oil-in-serum-45ml.webp,8330805838032
Kerastase,Kerastase Masque Chroma Filler 200ml,kerastase,kerastase-masque-chroma-filler-200ml,https://lookskart.com/products/kerastase-masque-chroma-filler-200ml,3850.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_CHROMAABSOLU_2023_MASQUECHROMAFILLER_PACKSHOT_3474637059132.webp?v=1744789072,/images/products/lookskart/all/kerastase/kerastase-masque-chroma-filler-200ml.webp,7891619610832
Kerastase,Kerastase Première Anti-Breakage & Repairing Mask 200ml,kerastase,kerastase-premiere-anti-breakage-repairing-mask-200ml,https://lookskart.com/products/kerastase-premiere-anti-breakage-repairing-mask-200ml,4600.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/kerastase-premiere-masque-filler-reparateur-200ml.webp?v=1739086951,/images/products/lookskart/all/kerastase/kerastase-premiere-anti-breakage-repairing-mask-200ml.webp,8165192433872
Kerastase,Kerastase Première Anti-Frizz Filler Serum 90ml,kerastase,premiere-anti-frizz-filler-serum-90ml,https://lookskart.com/products/premiere-anti-frizz-filler-serum-90ml,4600.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_00281-IMAGE1.webp?v=1727358404,/images/products/lookskart/all/kerastase/premiere-anti-frizz-filler-serum-90ml.webp,8165194957008
Kerastase,Kerastase Première Decalcifying & Repairing Concentrate 250ml,kerastase,kerastase-premiere-decalcifying-repairing-shampoo-250ml-1,https://lookskart.com/products/kerastase-premiere-decalcifying-repairing-shampoo-250ml-1,4600.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/PREMIERE-PRE-SHAMPO-PerfectExecution3000w.webp?v=1727357910,/images/products/lookskart/all/kerastase/kerastase-premiere-decalcifying-repairing-shampoo-250ml-1.webp,8165194334416
Kerastase,Kerastase Première Decalcifying Repairing Shampoo 250ml,kerastase,kerastase-premiere-decalcifying-repairing-shampoo-250ml,https://lookskart.com/products/kerastase-premiere-decalcifying-repairing-shampoo-250ml,3026.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/premiere-shampoo-perfect-execution-00278.webp?v=1727356096,/images/products/lookskart/all/kerastase/kerastase-premiere-decalcifying-repairing-shampoo-250ml.webp,8165191581904
Kerastase,Kerastase Resistance Bain Extentioniste 250ml Deep repairing,kerastase,kerastase-resistance-bain-therapiste-shampoo-250ml-deep-repairing,https://lookskart.com/products/kerastase-resistance-bain-therapiste-shampoo-250ml-deep-repairing,2625.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/products/looks-images-4_0031_28KRSEX250.jpg?v=1672140841,/images/products/lookskart/all/kerastase/kerastase-resistance-bain-therapiste-shampoo-250ml-deep-repairing.jpg,7833487966416
Kerastase,Kerastase Specifique Bain Divalent Shampoo 250ml,kerastase,kerastase-specifique-bain-divalent-shampoo-250ml,https://lookskart.com/products/kerastase-specifique-bain-divalent-shampoo-250ml,2625.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/products/34.jpg?v=1672233851,/images/products/lookskart/all/kerastase/kerastase-specifique-bain-divalent-shampoo-250ml.jpg,7833524994256
Kerastase,Kerastase Specifique Bain Prevention Shampoo 250ml,kerastase,kerastase-specifique-bain-prevention-shampoo-250ml-shampoo-for-prevention,https://lookskart.com/products/kerastase-specifique-bain-prevention-shampoo-250ml-shampoo-for-prevention,2625.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/products/looks-images-2_0021_41-KSBPR250.jpg?v=1672040732,/images/products/lookskart/all/kerastase/kerastase-specifique-bain-prevention-shampoo-250ml-shampoo-for-prevention.jpg,7833502318800
Kerastase,Kerastase Specifique Bain Vital Dermo Calm Shampoo 250ml,kerastase,kerastase-specifique-bain-vital-dermo-calm-shampoo-250ml,https://lookskart.com/products/kerastase-specifique-bain-vital-dermo-calm-shampoo-250ml,2625.00,Yes,https://cdn.shopify.com/s/files/1/0624/7618/9904/products/37.jpg?v=1672234036,/images/products/lookskart/all/kerastase/kerastase-specifique-bain-vital-dermo-calm-shampoo-250ml.jpg,7833523323088
