Brand,Title,Vendor,Handle,Product URL,Collection URL,Price,Price (raw),Available,Compare at,Tags,Image URL,Product ID,Variant ID
Kerastase,Kerastase Gloss Absolu Anti-Frizz Foaming Conditioner 250ml,kerastase,kerastase-gloss-absolu-anti-frizz-foaming-conditioner-250ml,https://lookskart.com/products/kerastase-gloss-absolu-anti-frizz-foaming-conditioner-250ml,https://lookskart.com/collections/kerastase,"Rs. 3,400.00",3400.00,Yes,,Brand_Kerastase; Concern_Frizzy; Concern_Frizzy Hair; Concern_Hair Care Female; For_Hair Care Female; Frizz; frizz control; Hair Care; Mask; Type_Frizzy; Type_Hair Care; Type_Hair Care (F); Type_Hair Care Female; Type_Hair Mask,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_00329_conditioner_packshot_image_250ml_1.webp?v=1752052397,8330830381264,44631096557776
Kerastase,Kerastase Gloss Absolu Anti-Frizz Heat Protectant Spray 190ml,kerastase,kerastase-gloss-absolu-anti-frizz-heat-protectant-spray-190ml,https://lookskart.com/products/kerastase-gloss-absolu-anti-frizz-heat-protectant-spray-190ml,https://lookskart.com/collections/kerastase,"Rs. 3,000.00",3000.00,Yes,,Brand_Kerastase; Brand_L'oreal; Brand_L'OrÃ©al; Concern_Fine Hair; Concern_Frizzy; Concern_Frizzy Hair; Concern_Hair Care Female; For_Hair Care Female; frizz control; hair ceam; Type_Frizzy; Type_Hair Care; Type_Hair Care (F); Type_Hair Care Female; Type_Hair Cream,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_00330_spray_packshot_image_190ml_1.webp?v=1752052306,8330831593680,44631103176912
Kerastase,Kerastase Gloss Absolu Anti-Frizz Shampoo 250ml,kerastase,kerastase-gloss-absolu-anti-frizz-shampoo-250ml,https://lookskart.com/products/kerastase-gloss-absolu-anti-frizz-shampoo-250ml,https://lookskart.com/collections/kerastase,"Rs. 2,625.00",2625.00,Yes,,Brand_Kerastase; Concern_Frizzy; Concern_Frizzy Hair; Concern_Hair Care Female; For_Hair Care Female; Frizz; frizz control; Hair Care; Type_Frizzy; Type_Hair Care; Type_Hair Care (F); Type_Hair Care Female; Type_Hair Shampoo; Type_Shampoo,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_00328_shampoo_packshot_image_250ml_1.webp?v=1752048590,8330811310288,44630915711184
Kerastase,Kerastase Gloss Absolu Glaze Drops Oil-In-Serum 45ml,kerastase,kerastase-gloss-absolu-glaze-drops-oil-in-serum-45ml,https://lookskart.com/products/kerastase-gloss-absolu-glaze-drops-oil-in-serum-45ml,https://lookskart.com/collections/kerastase,"Rs. 3,800.00",3800.00,Yes,,Brand_Kerastase; Brand_L'oreal; Brand_L'OrÃ©al; Concern_Frizzy; Concern_Frizzy Hair; Concern_Hair Care Female; For_Hair Care Female; Frizz; frizz control; Hair Care; Hair oil; Serum; Type_Frizzy; Type_Hair Care; Type_Hair Care (F); Type_Hair Care Female; Type_Hair Oil; Type_Hair Serum; Type_Hair Serums,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_00331_oil_packshot_image_45ml_1.webp?v=1752048127,8330805838032,44630856270032
Kerastase,Kerastase Masque Chroma Filler 200ml,kerastase,kerastase-masque-chroma-filler-200ml,https://lookskart.com/products/kerastase-masque-chroma-filler-200ml,https://lookskart.com/collections/kerastase,"Rs. 3,850.00",3850.00,Yes,,,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_CHROMAABSOLU_2023_MASQUECHROMAFILLER_PACKSHOT_3474637059132.webp?v=1744789072,7891619610832,43372680478928
Kerastase,Kerastase Première Anti-Breakage & Repairing Mask 200ml,kerastase,kerastase-premiere-anti-breakage-repairing-mask-200ml,https://lookskart.com/products/kerastase-premiere-anti-breakage-repairing-mask-200ml,https://lookskart.com/collections/kerastase,"Rs. 4,600.00",4600.00,Yes,4600.00,Brand_Kerastase; Concern_Damaged; Concern_Damaged Hair; Concern_Damged; Concern_Hair Care Female; For_Hair Care Female; For_Men; Hair Care; Mask; Men; Type_Damaged; Type_Damged; Type_Hair Care; Type_Hair Care (F); Type_Hair Care Female; Type_Hair Mask; Type_Mask,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/kerastase-premiere-masque-filler-reparateur-200ml.webp?v=1739086951,8165192433872,44221986111696
Kerastase,Kerastase Première Anti-Frizz Filler Serum 90ml,kerastase,premiere-anti-frizz-filler-serum-90ml,https://lookskart.com/products/premiere-anti-frizz-filler-serum-90ml,https://lookskart.com/collections/kerastase,"Rs. 4,600.00",4600.00,Yes,4600.00,Brand_Kerastase; Concern_Damaged; Concern_Damaged Hair; Concern_Damged; Concern_Hair Care Female; For_Hair Care Female; For_Men; Hair Care; Type_Damaged; Type_Damged; Type_Hair Care; Type_Hair Care (F); Type_Hair Care Female; Type_Hair Oil; Type_Hair Serum; Type_Hair Serums; Type_Serum; Type_Serum Conc. Type_Ultra Calming; Type_treatment; Type_Treatments,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/KER_00281-IMAGE1.webp?v=1727358404,8165194957008,44222000890064
Kerastase,Kerastase Première Decalcifying & Repairing Concentrate 250ml,kerastase,kerastase-premiere-decalcifying-repairing-shampoo-250ml-1,https://lookskart.com/products/kerastase-premiere-decalcifying-repairing-shampoo-250ml-1,https://lookskart.com/collections/kerastase,"Rs. 4,600.00",4600.00,Yes,4600.00,Brand_Kerastase; Concern_Damaged; Concern_Damaged Hair; Concern_Damged; For_Hair Care Female; For_Men; Hair Care; Type_Damaged; Type_Damged; Type_Hair Care; Type_Hair Care (F); Type_Hair Shampoo; Type_Shampoo,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/PREMIERE-PRE-SHAMPO-PerfectExecution3000w.webp?v=1727357910,8165194334416,44221999874256
Kerastase,Kerastase Première Decalcifying Repairing Shampoo 250ml,kerastase,kerastase-premiere-decalcifying-repairing-shampoo-250ml,https://lookskart.com/products/kerastase-premiere-decalcifying-repairing-shampoo-250ml,https://lookskart.com/collections/kerastase,"Rs. 3,026.00",3026.00,Yes,3400.00,Brand_Kerastase; Concern_Damaged; Concern_Damaged Hair; Concern_Damged; Concern_Hair Care Female; For_Hair Care Female; For_Men; Hair Care; Type_Damaged; Type_Damged; Type_Hair Care; Type_Hair Care (F); Type_Hair Care Female; Type_Hair Shampoo; Type_Shampoo,https://cdn.shopify.com/s/files/1/0624/7618/9904/files/premiere-shampoo-perfect-execution-00278.webp?v=1727356096,8165191581904,44221984309456
Kerastase,Kerastase Resistance Bain Extentioniste 250ml Deep repairing,kerastase,kerastase-resistance-bain-therapiste-shampoo-250ml-deep-repairing,https://lookskart.com/products/kerastase-resistance-bain-therapiste-shampoo-250ml-deep-repairing,https://lookskart.com/collections/kerastase,"Rs. 2,625.00",2625.00,Yes,,Brand_Kerastase; Type_Conditioner; Type_Damged; Type_Hair Care,https://cdn.shopify.com/s/files/1/0624/7618/9904/products/looks-images-4_0031_28KRSEX250.jpg?v=1672140841,7833487966416,43160374214864
